"code_muni";"RENDA_MEDIA";"NOTA_MEDIA";"RAZAO_MEDIA";"Nome_Município";"ANO"
2211100;0,0189301129408588;492,794622792937;12766,6762236429;"União";2024
2211209;0,0264393349116445;480,157692307692;8662,76300342254;"Uruçuí";2024
2211308;0,0252957526474169;491,80242282507;9514,73657177968;"Valença do Piauí";2024
2300150;0,0177691224364052;513,993902439024;14793,8595943517;"Acarape";2024
2300200;0,0136056187180755;531,375425065732;20598,5064606731;"Acaraú";2024
2300309;0,0149070212026416;503,011362372567;16897,4980949199;"Acopiara";2024
2300705;0,0334430935494765;490,502074074074;7157,89266683497;"Alto Santo";2024
2300754;0,0107420573205954;491,339845559846;22362,5548058917;"Amontada";2024
2301000;0,0387315129315129;521,154391201885;6971,95567029292;"Aquiraz";2024
2301109;0,0266000827733957;512,446062533121;9824,25749420935;"Aracati";2024
2301208;0,0195800885144049;506,06349137931;13020,5484613489;"Aracoiaba";2024
2301307;0,0236844791507171;516,253983739837;11194,4190139309;"Araripe";2024
2301406;0,0195460491889063;499,272556818182;12695,7910736777;"Aratuba";2024
2301604;0,0241404867548794;494,489813953488;10081,3963042521;"Assaré";2024
2301703;0,0343272762420259;530,72965641953;8145,407589234;"Aurora";2024
