"CO_MUNICIPIO_PROVA";"SG_UF_PROVA";"MEDIA_CN";"MEDIA_CH";"MEDIA_LC";"MEDIA_MT";"MEDIA_REDACAO";"MEDIA_GERAL"
1721208;"TO";453,507769784173;460,277340569878;486,341271989175;478,784316546763;622,280701754386;497,690366621682
1722081;"TO";451,746428571429;454,078260869565;474,328804347826;464,289285714286;598,588235294118;484,365724637681
1722107;"TO";462,825609756098;477,970621468927;497,890960451977;490,715243902439;616,744186046512;506,985449438202
2100055;"MA";471,130537084399;484,193937947494;502,438979007634;490,510383631714;636,634171369933;513,724517585551
2100204;"MA";449,686692015209;455,643636363636;474,778545454545;461,258935361217;590,787401574803;483,010030084236
2100600;"MA";447,516258992806;453,038866396761;473,312382234186;464,976690647482;604,782608695652;485,666224899598
2100709;"MA";455,97421875;455,494485294118;481,294139194139;479,503515625;640,478087649402;499,478345498783
2100907;"MA";449,656443298969;458,305134474328;482,133985330073;454,621134020619;599,226519337017;485,100665859564
2100956;"MA";453,736299765808;455,432882882883;474,584009009009;466,516861826698;600,20202020202;486,2034601044
2101004;"MA";460,011281070746;468,723069936421;489,15780399274;481,741586998088;646,198595787362;504,541318944844
2101202;"MA";462,599065108514;471,057071024513;490,937409846347;486,467289719626;647,509525458954;507,015399543379
2101301;"MA";437,514077669903;442,684543325527;472,269859813084;454,76432038835;612,468193384224;481,211411446249
2101400;"MA";463,879972279972;472,083561197917;492,46470396877;488,206964656965;643,483339058743;509,518590575011
2101509;"MA";452,792682926829;469,506507592191;487,996529284165;473,726888888889;607,441860465116;496,294505772006
2101608;"MA";467,680678851175;480,920612117427;499,02687032419;490,935052219321;669,195088676671;517,544947204969
2101707;"MA";455,879013761468;461,725559105431;482,379787234043;467,591513761468;609,052132701422;491,355360934183
2101905;"MA";448,214950166113;453,039116719243;470,145110410095;460,009966777409;582,20640569395;478,710665618449
2102002;"MA";453,449464285714;459,030116472546;479,535940099834;472,271428571429;639,238095238095;495,46269209508
2102101;"MA";437,615645371578;444,633834586466;464,237922403004;456,191264667536;611,56462585034;479,677602083333
2102309;"MA";441,732088285229;446,697886178862;471,708292682927;462,868590831918;656,568265682657;490,076436314363
2102325;"MA";456,327364185111;459,666515837104;481,249186256781;465,762575452716;586,895161290323;485,774581097197
2102804;"MA";463,120975609756;478,633563218391;497,119724770642;482,055609756098;615,111111111111;504,34876911315
2102903;"MA";450,182558139535;449,147868852459;476,776335877863;460,637093023256;571,407942238267;478,525613088817
2103000;"MA";464,848148148148;476,720345533076;494,045619609623;485,175672487022;628,231558378114;506,925097994874
2103208;"MA";454,017251051893;459,124933095451;476,280579064588;470,289527816737;628,106772120613;493,586547144754
